SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,240 E Illinois St #2603,Chicago,IL,60611,424000,1,1.0,CHI - Near North Side,,,2008,2,,745,Active,October-7-2023 12:00 PM,October-7-2023 02:00 PM,https://www.redfin.com/IL/Chicago/240-E-Illinois-St-60611/unit-2603/home/13150347,MRED,11893387,N,Y,41.8911546,-87.6210377
MLS Listing,,Single Family Residential,4339 S Oakenwald Ave,Chicago,IL,60653,729000,4,3.0,CHI - Kenwood,3200,3092,2000,2,228,,Active,October-14-2023 11:00 AM,October-14-2023 01:00 PM,https://www.redfin.com/IL/Chicago/4339-S-Oakenwald-Ave-60653/home/12784933,MRED,11901166,N,Y,41.8159812,-87.5965146
MLS Listing,,Single Family Residential,2309 N Geneva Ter,Chicago,IL,60614,3095000,7,6.5,CHI - Lincoln Park,8000,2574,1893,2,387,,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/2309-N-Geneva-Ter-60614/home/13350932,MRED,11900836,N,Y,41.9241175,-87.6436681
MLS Listing,,Single Family Residential,2010 Brummel St,Evanston,IL,60202,489000,4,3.0,Evanston,2183,,1952,2,224,,Active,,,https://www.redfin.com/IL/Evanston/2010-Brummel-St-60202/home/13604833,MRED,11893415,N,Y,42.0208988,-87.7013428
MLS Listing,,Condo/Co-op,2419 W Hollywood Ave #3,Chicago,IL,60659,169000,2,1.0,CHI - West Ridge,900,,1930,2,188,251,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/2419-W-Hollywood-Ave-60659/unit-3/home/18929362,MRED,11895149,N,Y,41.9848308,-87.6902736
MLS Listing,,Condo/Co-op,1635 W Pratt Blvd Unit 3N,Chicago,IL,60626,215000,2,1.0,CHI - Rogers Park,850,,1924,2,253,330,Active,October-7-2023 12:00 PM,October-7-2023 02:00 PM,https://www.redfin.com/IL/Chicago/1635-W-Pratt-Blvd-60626/unit-3N/home/12605338,MRED,11887991,N,Y,42.005079,-87.671362
MLS Listing,,Condo/Co-op,4218 S King Dr Unit 1N,Chicago,IL,60653,255000,3,2.0,CHI - Grand Boulevard,1465,,2004,2,174,250,Active,,,https://www.redfin.com/IL/Chicago/4218-S-King-Dr-60653/unit-1N/home/18941022,MRED,11900674,N,Y,41.8178568,-87.6174066
MLS Listing,,Condo/Co-op,757 N Orleans St #1408,Chicago,IL,60654,384000,2,1.5,CHI - Near North Side,1070,,2008,4,359,632,Active,,,https://www.redfin.com/IL/Chicago/757-N-Orleans-St-60654/unit-1408/home/52637273,MRED,11899242,N,Y,41.8963014,-87.6365635
MLS Listing,,Condo/Co-op,3737 N Leavitt St Unit 1N,Chicago,IL,60618,299900,2,1.0,CHI - North Center,850,,2004,4,353,300,Active,October-7-2023 11:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/IL/Chicago/3737-N-Leavitt-St-60618/unit-1N/home/13388911,MRED,11899216,N,Y,41.9497693,-87.6833475
MLS Listing,,Vacant Land,2434 N Saint Louis Ave,Chicago,IL,60647,415000,,,CHI - Logan Square,,3049,,4,,,Active,,,https://www.redfin.com/IL/Chicago/2434-N-Saint-Louis-Ave-60647/home/13444893,MRED,11898516,N,Y,41.9256343,-87.7149278
